state,seed,source_file,samples_raw,duration_s,raw_fs_hz,view_fs_hz,band_low_hz,band_high_hz,epoch_start_s,epoch_end_s,rms_au,p99_9_abs_au,peak_abs_au,delta_pct,theta_pct,alpha_pct,beta_pct,dominant_hz,spectral_centroid_hz,excess_kurtosis
17,1,lfp_state17_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.05870574462502989,0.6324427687141849,1.1296080518139107,14.997617244193632,33.72018329477353,14.35207408339374,32.782723741544814,6.4453125,10.984373439046037,58.654402051506345
18,1,lfp_state18_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.04556305473185857,0.36260873983785674,1.024312469774677,23.23012273640399,20.29945025481371,15.288437574310759,38.924600597681014,0.78125,11.235906111353843,65.0788289921832
19,1,lfp_state19_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.0759896756266498,0.8363768670640639,1.4040294960511963,13.781222649863988,35.53967066061934,11.288869428473538,35.78570870303389,6.4453125,11.092581636946887,55.89114236272404
20,1,lfp_state20_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.059204330893653075,0.6743134049219535,1.2562154089322446,16.843170330435797,31.845220667036504,11.908243892750466,37.3638417168493,6.640625,11.018047272031083,76.64425388826746
21,1,lfp_state21_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.040604084280810984,0.22871181528320858,0.6577147666313917,18.916315021628773,16.354242633818018,16.060419920872747,46.32046596969634,1.7578125,12.638069677710856,16.55259735253473
22,1,lfp_state22_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.07707395779609878,0.7741099432290268,1.1167883937108065,13.683310305453523,36.99839801052037,8.98980717511344,36.761941347184326,6.4453125,10.976828842942894,41.36921908598057
23,1,lfp_state23_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.06747470865383286,0.7458535961503744,1.036748011892107,16.547298997958585,35.169296243482094,11.511039812841277,33.71453655526306,6.4453125,10.736392464396875,50.33781808443144
24,1,lfp_state24_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.10852226176191083,1.1360333828260745,1.5874364378969228,10.37168455092042,40.73224901009412,7.422165711737101,39.33524174331012,6.640625,11.282537291927962,45.408617795570194
25,1,lfp_state25_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.13100278908250698,1.203571990017977,1.8352183992817028,10.818269869087228,45.402763265651146,8.362001235596074,32.07386800860506,6.4453125,10.460853612272434,32.37271045035947
26,1,lfp_state26_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.042473701086890955,0.29154337307600114,0.8368370774195242,20.867916727159205,17.4164570472952,15.408132393994611,43.80258624155519,1.3671875,12.14982746774018,35.585381956811055
